trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1956,False,"{'a': 0.002, 'e': 0.02000046011385589}",25,11,26.715801313065903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1957,False,"{'a': 0.002, 'e': 0.019960499167894455}",20,6,22.623291292124375,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1958,False,"{'a': 0.002, 'e': 0.019920618063956303}",25,20,10.161391419518397,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1959,False,"{'a': 0.002, 'e': 0.01988081664251697}",25,17,-25.239047715859442,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1960,False,"{'a': 0.002, 'e': 0.019841094744370714}",20,14,10.112815613262635,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1961,False,"{'a': 0.002, 'e': 0.019801452210629893}",25,11,28.847084821110514,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1962,False,"{'a': 0.002, 'e': 0.019761888882724312}",20,10,17.51138426323117,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1963,False,"{'a': 0.002, 'e': 0.019722404602400614}",20,16,7.5767234751737975,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1964,False,"{'a': 0.002, 'e': 0.019682999211721623}",20,6,25.191355659444636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1965,False,"{'a': 0.002, 'e': 0.01964367255306572}",25,17,16.928582224588958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1966,False,"{'a': 0.002, 'e': 0.019604424469126223}",30,16,24.602981204064882,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1967,False,"{'a': 0.002, 'e': 0.019565254802910742}",20,12,14.798461334740805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1968,False,"{'a': 0.002, 'e': 0.01952616339774056}",30,15,26.788119680341996,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1969,False,"{'a': 0.002, 'e': 0.01948715009725}",25,11,25.661432458080963,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1970,False,"{'a': 0.002, 'e': 0.019448214745385814}",20,14,10.730526130011828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1971,False,"{'a': 0.002, 'e': 0.01940935718640654}",25,3,36.8296238324845,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1972,False,"{'a': 0.002, 'e': 0.019370577264881894}",25,14,19.15442333839339,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1973,False,"{'a': 0.002, 'e': 0.01933187482569213}",30,13,29.246126422647478,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1974,False,"{'a': 0.002, 'e': 0.01929324971402745}",30,12,32.006597553112904,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1975,False,"{'a': 0.002, 'e': 0.019254701775387347}",20,9,19.56064224876617,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1976,False,"{'a': 0.002, 'e': 0.019216230855580017}",20,13,12.005615974415242,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1977,False,"{'a': 0.002, 'e': 0.019177836800721732}",20,14,11.434087903622157,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1978,False,"{'a': 0.002, 'e': 0.019139519457236222}",25,7,23.330271574705378,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1979,False,"{'a': 0.002, 'e': 0.019101278671854058}",25,9,29.641803926879277,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1980,False,"{'a': 0.002, 'e': 0.01906311429161205}",25,14,23.908393770757865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1981,False,"{'a': 0.002, 'e': 0.019025026163852626}",25,19,14.15619687006718,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1982,False,"{'a': 0.002, 'e': 0.018987014136223227}",20,9,22.141872468567726,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1983,False,"{'a': 0.002, 'e': 0.018949078056675686}",20,16,8.568327725335381,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1984,False,"{'a': 0.002, 'e': 0.01891121777346564}",30,24,10.332167815826743,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1985,False,"{'a': 0.002, 'e': 0.018873433135151902}",20,6,27.741192028791986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1986,False,"{'a': 0.002, 'e': 0.018835723990595868}",30,12,31.53845900506572,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1987,False,"{'a': 0.002, 'e': 0.01879809018896091}",30,16,27.842505952119787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1988,False,"{'a': 0.002, 'e': 0.018760531579711772}",35,23,22.685072470167242,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1989,False,"{'a': 0.002, 'e': 0.018723048012613968}",20,1,33.183157368385295,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1990,False,"{'a': 0.002, 'e': 0.01868563933773318}",20,9,18.241176907497646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1991,False,"{'a': 0.002, 'e': 0.018648305405434655}",30,18,22.573747274047122,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1992,False,"{'a': 0.002, 'e': 0.018611046066382617}",20,10,16.204214071560923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1993,False,"{'a': 0.002, 'e': 0.018573861171539658}",25,8,30.618338351933694,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
